0,1,2,3,label
-69.74737817797555,-20.191791482396397,36.79783939664404,22.40235644565712,sitting
-72.71694278753822,-16.32325407071179,40.09546223587731,22.108799728702394,sitting
-65.74859408555,-10.028529409471462,42.759277036250666,22.045851123895986,sitting
-69.77293587671763,-10.541483498313449,41.21627125945963,22.50307275669178,sitting
-74.25295137319216,-12.065936794842594,41.2597783446478,23.231223932312773,sitting
-77.6696838737967,-26.061215633441606,66.7817670223076,11.945330148810555,sitting
-78.13452390630286,-25.75064276950343,38.64001055289032,7.403908990891374,sitting
-99.36525114027755,-27.53321210458043,42.379618206118295,9.563543208448124,sitting
-113.30805815881308,-26.180697016627605,59.26887422398107,8.511055602334913,sitting
-124.04224210726156,-26.347327276473408,41.56083533408298,7.92230686020585,sitting
